epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1679,1.35348,4.92375,0.02346,0.37627,0.4009,0.29323,0.10556,2.08348,4.04797,0.07016,0.000650794,0.000650794,0.000650794
2,26.287,1.71026,2.56179,0.0305,0.31519,0.03153,0.0308,0.00729,nan,nan,nan,0.00130442,0.00130442,0.00130442
3,35.3271,1.88486,2.51486,0.03451,0.05042,0.01351,0.00693,0.00147,nan,nan,nan,0.00194484,0.00194484,0.00194484
4,44.2945,1.93969,2.45495,0.03483,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,53.3752,1.98951,2.39321,0.03779,0.18754,0.28829,0.11044,0.02911,2.87335,7.19058,0.10046,0.0019208,0.0019208,0.0019208
6,62.4758,1.90083,2.28921,0.03499,0.29823,0.33784,0.20926,0.06987,2.46316,3.63198,0.08239,0.001901,0.001901,0.001901
7,71.9852,1.87603,2.20294,0.03379,0.11519,0.24324,0.08298,0.02464,2.82223,4.04801,0.0963,0.0018812,0.0018812,0.0018812
8,88.2243,1.84244,2.05487,0.03409,0.3839,0.52703,0.40224,0.17057,2.01333,2.431,0.06709,0.0018614,0.0018614,0.0018614
9,106.703,1.80932,1.97565,0.03309,0.31426,0.37777,0.25677,0.0995,2.41357,2.46853,0.08054,0.0018416,0.0018416,0.0018416
10,125.221,1.82262,1.90966,0.03274,0.62859,0.53604,0.59114,0.2402,2.02405,1.70105,0.06848,0.0018218,0.0018218,0.0018218
11,144.347,1.79038,1.92396,0.03171,0.64803,0.62162,0.62003,0.28259,1.85361,1.90356,0.06217,0.001802,0.001802,0.001802
12,163.166,1.7258,1.81499,0.03097,0.44727,0.63964,0.47538,0.21113,1.8544,2.25266,0.06217,0.0017822,0.0017822,0.0017822
13,177.581,1.68179,1.76129,0.02931,0.4945,0.50901,0.46165,0.19138,1.99686,1.96487,0.06751,0.0017624,0.0017624,0.0017624
14,191.075,1.69389,1.70594,0.02966,0.70751,0.61712,0.69045,0.31237,1.91119,1.4577,0.06382,0.0017426,0.0017426,0.0017426
15,208.923,1.66021,1.68074,0.02795,0.77828,0.66409,0.74019,0.39993,1.68423,1.30367,0.0555,0.0017228,0.0017228,0.0017228
16,227.747,1.57859,1.68769,0.02777,0.61853,0.59009,0.6357,0.27329,1.97102,1.35069,0.06624,0.001703,0.001703,0.001703
17,246.759,1.58717,1.53887,0.02824,0.59976,0.73423,0.67853,0.31609,1.8138,1.31249,0.06037,0.0016832,0.0016832,0.0016832
18,265.638,1.58244,1.48647,0.02745,0.60265,0.65315,0.64871,0.30024,1.91671,1.53088,0.06435,0.0016634,0.0016634,0.0016634
19,284.342,1.63103,1.57857,0.02859,0.78767,0.6684,0.73882,0.36028,1.75748,1.30846,0.06029,0.0016436,0.0016436,0.0016436
20,299.191,1.59044,1.52903,0.02696,0.70717,0.66356,0.72698,0.40722,1.54028,1.14395,0.04961,0.0016238,0.0016238,0.0016238
21,315.482,1.55474,1.44282,0.02645,0.71835,0.67568,0.75613,0.41106,1.65275,1.23944,0.05394,0.001604,0.001604,0.001604
