epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,480.566,2.01087,3.09074,3.79208,0.02771,1.87692,0.34505,0.03719,0.03001,0.00851,0.03659,0.07164,0.01713,0.0045,2.26379,2.94563,3.78911,0.05929,0,0.000333266,0.000333266,0.0670067
2,950.289,1.74768,2.4458,3.01796,0.02232,1.73082,0.31173,0.12933,0.10033,0.04482,0.26326,0.11477,0.0873,0.03935,2.02068,2.34536,2.95657,0.05185,0,0.000666581,0.000666581,0.0340067
3,1411.93,1.66135,2.28332,2.68449,0.02024,1.6373,0.25848,0.20289,0.11538,0.04515,0.24045,0.18348,0.09676,0.03629,2.12467,2.35193,2.83547,0.05453,0,0.000999824,0.000999824,0.00100658
4,1863.44,1.58272,2.20382,2.50255,0.0188,1.57569,0.14896,0.18688,0.12048,0.05943,0.13022,0.15173,0.09815,0.04854,1.93524,2.16225,2.88184,0.0455,0,0.000999756,0.000999756,0.000999756
5,2313.17,1.52747,2.16184,2.36893,0.01755,1.54983,0.17949,0.2233,0.1235,0.05482,0.14243,0.19633,0.09735,0.03852,1.98092,1.95276,2.55799,0.04902,0,0.000999566,0.000999566,0.000999566
6,2763.56,1.48508,2.08242,2.26512,0.01632,1.48615,0.44434,0.19631,0.22313,0.10927,0.39625,0.16302,0.18475,0.08002,1.91658,2.53293,2.72976,0.0474,0,0.000999322,0.000999322,0.000999322
7,3213.67,1.44922,2.0658,2.20117,0.01586,1.43753,0.29368,0.29403,0.24821,0.11784,0.25625,0.25704,0.20875,0.09647,1.94843,1.97602,2.38614,0.0497,0,0.000999023,0.000999023,0.000999023
8,3665.01,1.43451,2.02495,2.12188,0.01536,1.39168,0.26567,0.28817,0.1802,0.08477,0.2134,0.25136,0.13995,0.06066,1.91797,2.03358,2.36317,0.04826,0,0.000998671,0.000998671,0.000998671
9,4114.66,1.40332,2.00937,2.04222,0.0152,1.35136,0.38398,0.26026,0.21777,0.09846,0.34038,0.22408,0.17114,0.07222,1.98076,1.94809,2.30878,0.05112,0,0.000998264,0.000998264,0.000998264
10,4566.13,1.3854,1.98013,2.0154,0.01461,1.31507,0.53504,0.30797,0.2365,0.1251,0.47657,0.25425,0.19176,0.09412,1.83607,1.90417,2.14443,0.0441,0,0.000997803,0.000997803,0.000997803
11,5017.41,1.35261,1.94694,1.96586,0.01428,1.32421,0.39788,0.28159,0.24627,0.13507,0.28744,0.25105,0.20462,0.10795,1.83915,1.8905,2.32767,0.04444,0,0.000997288,0.000997288,0.000997288
12,5467.11,1.3844,1.95244,1.94096,0.01453,1.28422,0.34231,0.30845,0.26681,0.13715,0.3054,0.27001,0.21868,0.10405,1.82111,1.95962,2.04581,0.04471,0,0.00099672,0.00099672,0.00099672
13,5916.7,1.34977,1.92815,1.89763,0.01422,1.25255,0.35655,0.30604,0.25681,0.13444,0.30346,0.25601,0.20526,0.09903,1.85627,1.95443,2.2085,0.044,0,0.000996097,0.000996097,0.000996097
14,6366.46,1.32619,1.91173,1.8817,0.01406,1.23177,0.48042,0.35695,0.319,0.17129,0.35878,0.32207,0.27638,0.13613,1.80878,1.90015,2.03767,0.0447,0,0.00099542,0.00099542,0.00099542
15,6817.91,1.33171,1.89491,1.8618,0.0136,1.21612,0.59607,0.25865,0.28469,0.1493,0.54079,0.21734,0.23706,0.11632,1.89622,1.87519,2.01435,0.04701,0,0.00099469,0.00099469,0.00099469
16,7268.43,1.30191,1.8624,1.82678,0.01325,1.17229,0.44372,0.3172,0.27267,0.14118,0.43134,0.27226,0.22942,0.10819,1.82442,1.86149,1.98052,0.04708,0,0.000993906,0.000993906,0.000993906
17,7717.98,1.29265,1.8484,1.78068,0.01333,1.14306,0.38008,0.2908,0.28476,0.15975,0.3379,0.26115,0.24619,0.12409,1.76406,1.84367,2.05939,0.04249,0,0.000993068,0.000993068,0.000993068
18,8168.26,1.30914,1.8797,1.82638,0.01334,1.11316,0.36536,0.21444,0.16453,0.07597,0.34409,0.18909,0.12982,0.04635,1.74413,1.92118,2.64452,0.0429,0,0.000992177,0.000992177,0.000992177
19,8619.19,1.31057,1.8888,1.77727,0.01321,1.07208,0.38375,0.28583,0.23302,0.1191,0.34982,0.25616,0.19677,0.08538,1.83628,1.88538,2.20211,0.04602,0,0.000991232,0.000991232,0.000991232
20,9070.09,1.26644,1.84497,1.77111,0.01262,1.04615,0.38628,0.33292,0.29509,0.15115,0.34489,0.29687,0.25522,0.11744,1.82908,1.90106,1.98714,0.04586,0,0.000990234,0.000990234,0.000990234
21,9521.4,1.29399,1.86805,1.76815,0.01291,1.03368,0.36062,0.36127,0.30912,0.15083,0.34158,0.31556,0.27075,0.11819,1.86906,1.88373,2.05066,0.04823,0,0.000989183,0.000989183,0.000989183
22,9970.54,1.2611,1.82237,1.70498,0.01291,0.99414,0.3675,0.34123,0.28094,0.12702,0.32591,0.30049,0.23272,0.08633,1.97598,1.8051,2.22241,0.05573,0,0.000988079,0.000988079,0.000988079
23,10420.8,1.25591,1.83592,1.71422,0.01236,0.99229,0.29997,0.32665,0.23543,0.11689,0.26543,0.28398,0.19199,0.08165,1.86378,1.85386,2.20888,0.04897,0,0.000986922,0.000986922,0.000986922
24,10871.7,1.26372,1.82766,1.69306,0.01258,0.99618,0.30599,0.3155,0.29187,0.13809,0.27266,0.2688,0.23927,0.10006,1.87862,1.83802,2.05169,0.04967,0,0.000985711,0.000985711,0.000985711
25,11323.1,1.26987,1.83314,1.71293,0.01274,0.98397,0.50435,0.30302,0.29941,0.1501,0.42461,0.26144,0.24582,0.11167,1.83476,1.83354,2.11017,0.04747,0,0.000984449,0.000984449,0.000984449
26,11773.7,1.24808,1.80195,1.68145,0.01238,0.98069,0.36111,0.29334,0.24904,0.12156,0.3245,0.2511,0.20248,0.07732,1.8682,1.80022,2.19719,0.04992,0,0.000983133,0.000983133,0.000983133
27,12225,1.24401,1.78721,1.68686,0.01231,0.97048,0.35931,0.3483,0.28616,0.1407,0.33626,0.31135,0.24398,0.10145,1.82475,1.72278,1.93143,0.04943,0,0.000981765,0.000981765,0.000981765
28,12676.8,1.25055,1.82749,1.65963,0.01247,0.94156,0.35834,0.3299,0.27862,0.13901,0.32792,0.29204,0.23389,0.09944,1.92784,1.79027,2.30154,0.05195,0,0.000980345,0.000980345,0.000980345
29,13128.6,1.24999,1.80346,1.65778,0.01235,0.94647,0.3827,0.34998,0.30366,0.15182,0.35434,0.30255,0.25863,0.11272,1.81331,1.75607,2.05527,0.0471,0,0.000978873,0.000978873,0.000978873
30,13579.4,1.22912,1.80756,1.6574,0.01181,0.92996,0.38468,0.36798,0.30151,0.15138,0.35141,0.32384,0.25917,0.11412,1.81095,1.75674,2.10247,0.04729,0,0.000977349,0.000977349,0.000977349
31,14029.4,1.21586,1.75369,1.63618,0.01185,0.94209,0.3716,0.41319,0.314,0.15627,0.32689,0.36562,0.26366,0.11755,1.80994,1.80521,2.08603,0.04763,0,0.000975773,0.000975773,0.000975773
32,14479.4,1.20015,1.76454,1.61468,0.01185,0.93188,0.39712,0.36825,0.32055,0.16121,0.36889,0.33539,0.2796,0.11886,1.86153,1.73892,2.09575,0.04971,0,0.000974145,0.000974145,0.000974145
33,14929.7,1.22243,1.75848,1.62203,0.01199,0.93124,0.39591,0.34944,0.33215,0.16022,0.36767,0.31251,0.2902,0.12217,1.83261,1.74636,2.11273,0.0485,0,0.000972466,0.000972466,0.000972466
