epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,121.518,2.23453,4.98871,4.0044,0.01046,4.79088,0.14143,0.07206,0.04344,0.01653,0.07598,0.03844,0.01896,0.00426,2.91757,nan,nan,0.02836,0,0.00041387,0.00041387,0.00041387
2,233.238,2.3467,4.73232,3.37046,0.01201,2.89323,0.20209,0.29063,0.08718,0.02629,0.28638,0.1412,0.04783,0.01253,2.49676,5.07676,3.65451,0.02083,0,0.000822315,0.000822315,0.000822315
3,340.777,2.41809,4.71441,3.40575,0.01289,2.67779,0.10716,0.08501,0.03649,0.01155,0.06745,0.0564,0.01357,0.00348,2.6137,4.82831,3.97393,0.02106,0,0.00122251,0.00122251,0.00122251
4,448.181,2.40609,4.69628,3.35834,0.0128,2.6761,0.10207,0.147,0.04442,0.01414,0.06356,0.10421,0.02378,0.0062,2.58882,4.82252,4.23622,0.0237,0,0.00121287,0.00121287,0.00121287
5,555.185,2.35058,4.6841,3.30964,0.01216,2.60557,0.25527,0.13822,0.07836,0.02518,0.17756,0.09418,0.04115,0.01101,2.44089,4.85279,3.34612,0.02099,0,0.0012005,0.0012005,0.0012005
6,661.588,2.32254,4.63579,3.23131,0.01179,2.48936,0.21685,0.20985,0.12044,0.03698,0.17627,0.17064,0.08768,0.01932,2.32908,nan,nan,0.02091,0,0.00118812,0.00118812,0.00118812
7,769.288,2.24731,4.61201,3.16085,0.01123,2.44497,0.27733,0.24048,0.18232,0.06416,0.20615,0.18786,0.1383,0.04116,2.21206,nan,nan,0.01823,0,0.00117575,0.00117575,0.00117575
8,877.46,2.26687,4.57908,3.14349,0.01156,2.39733,0.29179,0.20114,0.11684,0.03775,0.23299,0.17807,0.08758,0.02157,2.50491,4.78274,3.58592,0.02078,0,0.00116337,0.00116337,0.00116337
9,985.167,2.223,4.49974,3.07465,0.0115,2.38031,0.32295,0.27882,0.22797,0.08297,0.28677,0.22761,0.17607,0.05315,2.24226,4.55455,2.98226,0.01747,0,0.001151,0.001151,0.001151
10,1092.78,2.22386,4.46862,3.06117,0.01104,2.34468,0.29907,0.22435,0.15459,0.05646,0.24598,0.14702,0.10418,0.02906,2.26222,4.54175,3.17757,0.01903,0,0.00113863,0.00113863,0.00113863
